Headline,Date,Author,Vertical,Description
"Rajasthan panchayat elections: Phase two completed, uncertainty prevails over remaining ones","Jan 23, 2020",Reporter,NATIONAL,"JAIPUR: The second phase of Panchayat polls to elect 2,312 Sarpanches of 74 Panchayat Samitis in Rajasthan passed off peacefully…"
Farmers get video game on mobile instead of loan waiver info; official suspended,"Jan 23, 2020",Reporter,OTHER STATES,"MUMBAI: The Maharashtra government has suspended a top official for ""negligence and irresponsible conduct"" after farmers received…"
J&K Police officer killed in counter-insurgency operation had volunteered to serve in Kashmir,"Jan 23, 2020",Reporter,CRIME,"JAMMU: Special Police Officer Shahbaz Ahmad, who was among two security personnel killed in a gunfight with terrorists in south…"
67-year-old man arrested for ‘killing’ daughter’s stalker,"Jan 23, 2020",Reporter,CRIME,THANE: A senior citizen was arrested at Badlapur in the district on Wednesday for allegedly killing a 26-year-old man who used to…
"In next 10 days, 5,000 more Shaheen Baghs across country: Bhim Army chief Chandrashekhar Azad","Jan 23, 2020",Reporter,DELHIFEATURED,"NEW DELHI: In the next 10 days, there will be 5,000 more protest sites like Shaheen Bagh across the country, Bhim Army chief…"
Space Data sharing still a grey area,"Jan 23, 2020",Reporter,OTHER STATES,"BENGALURU: Even as several space agencies vouched for the idea of a collaborative effort in research, scientists pointed to grey…"
"Supreme Court suggestion on trial of defectors welcome, says Yechury","Jan 23, 2020",Reporter,FEATUREDNATIONAL,KALABURAGI: The CPI(M) welcomes the Supreme Court suggestion for constitution of a separate body for the trial of cases related to…
Government approves model pact with foreign countries for seafarers’ competency certificate,"Jan 22, 2020",Reporter,BUSINESS,NEW DELHI: The government on Wednesday said it has approved a model pact with foreign countries for recognition of seafarers'…
"Japan’s NTT to invest Rs 11,000 crore in data centres in India","Jan 22, 2020",Reporter,BUSINESS,MUMBAI: Japanese tech major NTT on Wednesday said a significant part of its USD 7 billion global commitment for data centres…
Masked gunmen kill local commander of Iran’s security forces,"Jan 22, 2020",Reporter,WORLD,"TEHRAN:  Masked gunmen on Wednesday ambushed and killed the local commander of a paramilitary security force in southwestern Iran,…"
Ekaterini Sakellaropoulou elected first woman president of Greece,"Jan 22, 2020",Reporter,WORLD,"ATHENS: Greece's parliament on Wednesday elected the first woman president in the country's history, a senior judge with an…"
India falls to 51st position in EIU’s Democracy Index over ‘erosion of civil…,"Jan 22, 2020",Reporter,NATIONAL,"NEW DELHI: India slipped 10 places to 51st position in the 2019 Democracy Index's global ranking, according to The Economist…"
"Bhim Army chief Azad, Swami Agnivesh file PIL against CAA, NRC","Jan 22, 2020",Reporter,NATIONAL,"NEW DELHI: Bhim Army chief Chandrashekhar Azad, Swami Agnivesh and former Chairperson of the National Minority Commission Wajahat…"
FIR against Magsaysay Award winner Sandeep Pandey for remarks on Savarkar in Aligarh,"Jan 22, 2020",Reporter,NATIONAL,ALIGARH: An FIR has been lodged against social activist and Magsaysay Award winner Sandeep Pandey for his remarks on VD Savarkar.…
Meet female robot ‘Vyomamitra’ who will travel to space on ISRO’s Gaganyaan,"Jan 22, 2020",Reporter,OTHER STATES,"BENGALURU: Even before orbiting astronauts on India's first manned mission to the space in December 2021, the Indian Space…"
"Mayawati accepts Amit Shah’s challenge, says BSP ready to debate on CAA","Jan 22, 2020",Reporter,OTHER STATES,"LUCKNOW: Picking up the gauntlet thrown down by Union Home Minister Amit Shah, both the regional satraps – Bahujan Samaj Party…"
Farmers’ rally on the card as Congress plans first grand movement under Priyanka’s…,"Jan 22, 2020",Reporter,DELHIFEATURED,NEW DELHI: The Congress Party is planning to launch a movement in Uttar Pradesh to take on the BJP government on the issue of…
"After Mayawati, now Akhilesh Yadav wants open debate with BJP","Jan 22, 2020",Reporter,OTHER STATES,LUCKNOW: Hitting back at Home Minister Amit Shah for challenging opposition leaders for a debate on the Citizenship Amendment Act…
